'jian'mo	建模	011124.121784	51111254.12341222511134
'cha'dong'luo'xuan'ji'gou	差动螺旋机构	43121.115453.268354.603108.1235.123554	431113121.115453.25121425121554234.41533152134.123435.12343554
'cha'dong'lun'xi	差动轮系	43121.115453.773435.356234	431113121.115453.15213435.3554234
'cha'dong'dian'rong'qi	差动电容器	43121.115453.815.4693.808010	431113121.115453.25115.4453434251.2512511344251251
'cha'mo'shu'ru	差模输入	43121.121784.773412.34	431113121.12341222511134.1521341251122.34
'cha'ya'kong'zhi'qi	差压控制器	43121.13194.104631.311252.808010	431113121.131214.12144534121.31125222.2512511344251251
'cha'su'qi	差速器	43121.180234.808010	431113121.1251234454.2512511344251251
'cha'pin'xiang'wei'yan'chi	差频相位延迟	43121.212338.1282.3261.321554.074454	431113121.2121233132534.123425111.3241431.321554.5134454
'cha'ji'ma	差集码	43121.324172.1450	431113121.324111211234.13251551
'cha'fen	差分	43121.3453	431113121.3453
'cha'fen'yun'fang	差分运放	43121.3453.115444.6090	431113121.3453.1154454.41533134
'cha'fen'mai'ma'tiao'zhi	差分脉码调制	43121.3453.364554.1450.403510.311252	431113121.3453.351145534.13251551.4535121251.31125222
'cha'fen'mi'ma'fen'xi	差分密码分析	43121.3453.466520.1450.3453.123312	431113121.3453.44545434252.13251551.3453.12343312
'cha'fen'shuang'jiao'xian	差分双绞线	43121.3453.5454.556634.551154	431113121.3453.5454.551413434.55111534
'cha'fen'fang'shi	差分方式	43121.3453.60.112154	431113121.3453.4153.112154
'cha'fen'fang'da'qi	差分放大器	43121.3453.6090.134.808010	431113121.3453.41533134.134.2512511344251251
'cha'fen'dian'ya'xin'hao	差分电压信号	43121.3453.815.13194.3240.8015	431113121.3453.25115.131214.324111251.25115
'cha'bo'shu	差波束	43121.445324.180234	431113121.44153254.1251234
'cha'bo'shu'ling'shen	差波束零深	43121.445324.180234.163444.444532	431113121.44153254.1251234.1452444434454.44145341234
'cha'bo'shu'fen'li'jiao	差波束分离角	43121.445324.180234.3453.413454.35	431113121.44153254.1251234.3453.4134522554.3535112
'cha'yi'chong'qi'dian'chi	差异充气电池	43121.515132.415435.67.815.44525	431113121.515132.415435.3115.25115.441525
'cha'cuo	差错	43121.911881	431113121.3111512212511
'cha'cuo'zhi'shi'dian'lu	差错指示电路	43121.911881.103581.11234.815.299080	431113121.3111512212511.121352511.11234.25115.2512121354251
'cha'cuo'kong'zhi	差错控制	43121.911881.104631.311252	431113121.3111512212511.12144534121.31125222
'cha'cuo'kong'zhi'bian'ma	差错控制编码	43121.911881.104631.311252.554077.1450	431113121.3111512212511.12144534121.31125222.551451325122.13251551
'cha'cuo'kuo'san	差错扩散	43121.911881.1047.182510	431113121.3111512212511.121413.122125113134
'cha'cuo'jian'ce	差错检测	43121.911881.123411.442822	431113121.3111512212511.12343414431.441253422
'cha'cuo'jian'ce'ma	差错检测码	43121.911881.123411.442822.1450	431113121.3111512212511.12343414431.441253422.13251551
'cha'cuo'jiao'yan	差错校验	43121.911881.126634.503411	431113121.3111512212511.1234413434.5513414431
'cha'cuo'jiao'yan'xi'tong	差错校验系统	43121.911881.126634.503411.356234.554155	431113121.3111512212511.1234413434.5513414431.3554234.551415435
'cha'cuo'fan'wei	差错范围	43121.911881.174455.251151	431113121.3111512212511.12244155.2511521
'cha'cuo'chuan'bo	差错传播	43121.911881.321154.103683	431113121.3111512212511.321154.121343123425121
'cha'cuo'hui'fu	差错恢复	43121.911881.491369.318190	431113121.3111512212511.442134334.312511354
'pu'lei'si'bo	普雷斯波	431221.1683.703312.445324	431224312511.1452444425121.122111343312.44153254
'pu'en'mo'xing	普恩模型	431221.251345.121784.113229	431224312511.2513414544.12341222511134.113222121
'pu'bian'li'shi	普遍例式	431221.407254.321322.112154	431224312511.451325122454.32135422.112154
'pu'bian'xing'yu'fa	普遍性语法	431221.407254.49371.401250.441954	431224312511.451325122454.44231121.451251251.44112154
'pu'tong'xing'ye'li'ou'he'qi	普通型液力偶合器	431221.542514.113229.444134.53.328124.92.808010	431224312511.5425112454.113222121.44141323544.53.32251125214.341251.2512511344251251
'pu'tong'xie'jian	普通楔键	431221.542514.127154.910114	431224312511.5425112454.1234111253134.3111551111254
'pu'tong'ping'dai	普通平带	431221.542514.14312.122245	431224312511.5425112454.14312.122245252
'pu'tong'ping'jian	普通平键	431221.542514.14312.910114	431224312511.5425112454.14312.3111551111254
'pu'tong'yuan'zhu'xiao	普通圆柱销	431221.542514.258021.12411.912421	431224312511.5425112454.2525125341.123441121.311152432511
'pu'tong'yuan'zhui'xiao	普通圆锥销	431221.542514.258021.913241.912421	431224312511.5425112454.2525125341.3111532411121.311152432511
'pu'tong'yu'yan'xue	普通语言学	431221.542514.401250.40.6458	431224312511.5425112454.451251251.4111251.44345521
'pu'tong'hua	普通话	431221.542514.4096	431224312511.5425112454.45312251
'qian'ti	前提	431252.108114	431251122.121251112134
'qian'shu'fan'shi	前束范式	431252.180234.174455.112154	431251122.1251234.12244155.112154
'qian'feng'ju'chi'chong'ji'mai'chong	前峰锯齿冲击脉冲	431252.209071.910710.21.41802.1120.364554.41802	431251122.2523541112.3111551312251.21213452.412512.11252.351145534.412512
'qian'tong'bu'ma	前同步码	431252.25180.21233.1450	431251122.251251.2121233.13251551
'qian'kui'kong'zhi	前馈控制	431252.308028.104631.311252	431251122.355251212534.12144534121.31125222
'qian'qing'ye'pian	前倾叶片	431252.321518.8012.3215	431251122.3215132534.25112.3215
'qian'xiang	前像	431252.323584	431251122.3235251353334
'qian'ji	前集	431252.324172	431251122.324111211234
'qian'xiang'bo	前向波	431252.32580.445324	431251122.325251.44153254
'qian'xiang'jiu'cuo	前向纠错	431252.32580.5552.911881	431251122.325251.55152.3111512212511
'qian'xiang'chuan'rao	前向串扰	431252.32580.80802.101354	431251122.325251.2512512.1211354
'qian'jiao	前角	431252.35	431251122.3535112
'qian'yan	前沿	431252.443580	431251122.44135251
'qian'xu	前序	431252.4754	431251122.4135452
'qian'qu'zhan	前驱站	431252.501345.612180	431251122.5511345.4143121251
'qian'dao	前导	431252.515124	431251122.515124
'qian'dao'ma	前导码	431252.515124.1450	431251122.515124.13251551
'qian'dao'mian	前刀面	431252.53.132521	431251122.53.132522111
'qian'jia'gong	前加工	431252.5380.121	431251122.53251.121
'qian'tai	前台	431252.5480	431251122.54251
'qian'tai'cao'zuo'fang'shi	前台操作方式	431252.5480.108082.323121.60.112154	431251122.54251.1212512512511234.3231211.4153.112154
'qian'tai'jian'kong'cheng'xu	前台监控程序	431252.5480.223144.104631.928011.4754	431251122.54251.2231425221.12144534121.312342511121.4135452
'qian'tai'zuo'ye	前台作业	431252.5480.323121.22	431251122.54251.3231211.22431
'qian'tai'ren'wu	前台任务	431252.5480.32319.9053	431251122.54251.323121.35453
'qian'tai'fen'ye	前台分页	431252.5480.3453.1328	431251122.54251.3453.132534
'qian'tai'fen'qu	前台分区	431252.5480.3453.1345	431251122.54251.3453.1345
'qian'tai'diao'du'cheng'xu	前台调度程序	431252.5480.403510.471854.928011.4754	431251122.54251.4535121251.413122154.312342511121.4135452
'qian'tai'chu'qi'cheng'xu	前台初启程序	431252.5480.6353.40780.928011.4754	431251122.54251.4523453.4513251.312342511121.4135452
'qian'tai'jin'cheng	前台进程	431252.5480.76454.928011	431251122.54251.1132454.312342511121
'qian'ji'ya'li	前级压力	431252.55354.13194.53	431251122.551354.131214.53
'qian'ji'guan'lu	前级管路	431252.55354.374621.299080	431251122.551354.31431444525151.2512121354251
'qian'zhui	前缀	431252.555454	431251122.55154545454
'qian'zhui'ma	前缀码	431252.555454.1450	431251122.55154545454.13251551
'qian'zhui'xing'zhi	前缀性质	431252.555454.49371.331228	431251122.55154545454.44231121.33122534
'qian'duan'chu'li'qi	前端处理器	431252.612012.9024.118121.808010	431251122.41431252132522.35424.11212511211.2512511344251251
'qian'jing'se	前景色	431252.814124.355215	431251122.251141251234.355215
'qian'jing'se'bi'li	前景色比例	431252.814124.355215.1535.321322	431251122.251141251234.355215.1535.32135422
'qian'zhi'xiu'shi	前置修饰	431252.841227.322903.303125	431251122.2522112251111.322354333.35531252
'qian'zhi'qi'lun'ji	前置汽轮机	431252.841227.4467.773435.1235	431251122.2522112251111.4413115.15213435.123435
'qian'zhi'fang'da'qi	前置放大器	431252.841227.6090.134.808010	431251122.2522112251111.41533134.134.2512511344251251
'qian'zhi'tiao'jian	前置条件	431252.841227.9012.3231	431251122.2522112251111.3541234.323112
'qian'zhui	前锥	431252.913241	431251122.3111532411121
'qian'she'yin	前舌音	431252.96.6181	431251122.312251.414312511
'jian'cai'guo'cheng	剪裁过程	431253.121414.124454.928011	43125112253.121413534534.124454.312342511121
'jian'qie'shi'xiang'jiao'tan'huang	剪切式橡胶弹簧	431253.1553.112154.123584.366634.574382.371884	43125112253.1553.112154.123435251353334.3511413434.51543251112.31431412212512134
'jian'qie'an'ding'xing	剪切安定性	431253.1553.4659.461214.49371	43125112253.1553.445531.44512134.44231121
'jian'qie'bian'huan	剪切变换	431253.1553.6654.103524	43125112253.1553.41223454.1213525134
'jian'tie'ban	剪贴板	431253.282180.123354	43125112253.253421251.12343354
'jian'qu	剪取	431253.7254	43125112253.12211154
'shou'ye	首页	431382.1328	431325111.132534
'shou'ji'lu'qian	首记录前	431382.40515.012414.431252	431325111.45515.51124134.431251122
'shou'xi'zhi'xing'guan	首席执行官	431382.471825.10354.33112.462511	431325111.4131221252.121354.332112.44525151
'shou'bu	首部	431382.618052	431325111.4143125152
'dao'bi	道比	431384.1535	431325111454.1535
'dao'jiao	道角	431384.35	431325111454.3535112
'dao'jian'chuan'rao	道间串扰	431384.4281.80802.101354	431325111454.4252511.2512512.1211354
'dao'kuan	道宽	431384.461725	431325111454.4451222535
'dao'mi'du	道密度	431384.466520.471854	431325111454.44545434252.413122154
'ni'yi'zhi	逆抑制	431524.103552.311252	431523454.1213552.31125222
'ni'la'dong'bian'huan	逆拉东变换	431524.1061.15234.6654.103524	431523454.12141431.15234.41223454.1213525134
'ni'shi'ta'kang	逆式塔康	431524.112154.191792.470124	431523454.112154.121122341251.41351124134
'ni'ping'xing'si'bian'xing'ji'gou	逆平行四边形机构	431524.14312.33112.84.53454.113233.1235.123554	431523454.14312.332112.25351.53454.1132333.123435.12343554
'ni'zeng'yi'gan'rao	逆增益干扰	431524.194321.431344.112.101354	431523454.121432524312511.4313425221.112.1211354
'ni'tong'tai	逆同态	431524.25180.134465	431523454.251251.13444544
'ni'wang	逆网	431524.253434	431523454.253434
'ni'dai'huan	逆代换	431524.32154.103524	431523454.32154.1213525134
'ni'xin'dao	逆信道	431524.3240.431384	431523454.324111251.431325111454
'ni'xiang'gong'cheng	逆向工程	431524.32580.121.928011	431523454.325251.121.312342511121
'ni'xiang'shan'lue	逆向删略	431524.32580.353512.839080	431523454.325251.3535122.25121354251
'ni'sheng'gou'ci	逆生构词	431524.371.123554.405180	431523454.31121.12343554.4551251
'ni'lv'bo'qi	逆滤波器	431524.448765.445324.808010	431523454.4412153154544.44153254.2512511344251251
'ni'wan'quan'hun'xi	逆完全混洗	431524.461135.3411.448115.443195	431523454.4451135.341121.44125111535.441312135
'ni'bian'huan'huan'chong'qi	逆变换缓冲器	431524.6654.103524.553914.41802.808010	431523454.41223454.1213525134.551344311354.412512.2512511344251251
'ni'bian'qian	逆变迁	431524.6654.312454	431523454.41223454.312454
'ni'bian'qi	逆变器	431524.6654.808010	431523454.41223454.2512511344251251
'ni'shi'zhen	逆时针	431524.81124.9112	431523454.2511124.3111512
'ni'shi'zhen'du	逆时针度	431524.81124.9112.471854	431523454.2511124.3111512.413122154
'ni'dian'liu	逆电流	431524.815.444155	431523454.25115.4414154325
'ni'cheng'lv	逆程率	431524.928011.415642	431523454.312342511121.41554413412
'su'feng	塑封	431529.191914	4315233511121.121121124
'su'feng'jing'ti'guan	塑封晶体管	431529.191914.818181.32121.374621	4315233511121.121121124.251125112511.3212341.31431444525151
'su'xing'liu'ti'dong'li'run'hua	塑性流体动力润滑	431529.49371.444155.32121.115453.53.444211.4485	4315233511121.44231121.4414154325.3212341.115453.53.4414251121.441255452511
'su'xing'bian'xing	塑性变形	431529.49371.6654.113233	4315233511121.44231121.41223454.1132333
'su'liao'mo'dian'rong'qi	塑料膜电容器	431529.684412.361784.815.4693.808010	4315233511121.4312344412.35111222511134.25115.4453434251.2512511344251251
'su'liao'zhou'cheng	塑料轴承	431529.684412.7783.581154	4315233511121.4312344412.152125121.52111534
'ban'zheng'xian'chong'ji'mai'chong	半正弦冲击脉冲	432.121.574156.41802.1120.364554.41802	43112.12121.51541554.412512.11252.351145534.412512
'ban'gong'lv'dian	半功率点	432.12153.415642.218069	43112.12153.41554413412.212514444
'ban'you'yuan'zhi'dao	半有源制导	432.132511.441334.311252.515124	43112.132511.4411332511234.31125222.515124
'ban'jie'wang'luo	半节网络	432.1752.253434.559080	43112.12252.253434.551354251
'ban'gong'jiao'xie'zhen'qiang	半共焦谐振腔	432.1834.324179.401531.101314.364631	43112.122134.324111214444.45153532511.1211311534.351144534121
'ban'gong'xin'xie'zhen'qiang	半共心谐振腔	432.1834.65.401531.101314.364631	43112.122134.4544.45153532511.1211311534.351144534121
'ban'yuan'tou'mao'ding	半圆头铆钉	432.258021.44134.913532.9112	43112.2525125341.44134.3111535352.3111512
'ban'yuan'jian	半圆键	432.258021.910114	43112.2525125341.3111551111254
'ban'se'diao	半色调	432.355215.403510	43112.355215.4535121251
'ban'se'diao'tu'xiang	半色调图像	432.355215.403510.259041.323584	43112.355215.4535121251.25354441.3235251353334
'ban'se'diao'tu'an	半色调图案	432.355215.403510.259041.465912	43112.355215.4535121251.25354441.4455311234
'ban'zi'dong'si'yin'ji	半自动丝印机	432.382.115453.55551.35152.1235	43112.325111.115453.55551.35152.123435
'ban'ye'ti'run'hua	半液体润滑	432.444134.32121.444211.4485	43112.44141323544.3212341.4414251121.441255452511
'ban'chen'tou'mao'ding	半沉头铆钉	432.444535.44134.913532.9112	43112.4414535.44134.3111535352.3111512
'ban'yong'ci'cai'liao	半永磁材料	432.45534.144316.12123.684412	43112.45534.13251431554554.1234123.4312344412
'ban'ding'zhi'ji'cheng'dian'lu	半定制集成电路	432.461214.311252.324172.135534.815.299080	43112.44512134.31125222.324111211234.135534.25115.2512121354251
'ban'kong'xin'mao'ding	半空心铆钉	432.463411.65.913532.9112	43112.44534121.4544.3111535352.3111512
'ban'shi'wu'fang'zhen	半实物仿真	432.464414.313533.3260.122734	43112.44544134.31213533.324153.1225111134
'ban'dao'ti	半导体	432.515124.32121	43112.515124.3212341
'ban'dao'ti'tan'ce'qi	半导体探测器	432.515124.32121.104532.442822.808010	43112.515124.3212341.12145341234.441253422.2512511344251251
'ban'dao'ti'bo'li	半导体玻璃	432.515124.32121.115324.114134	43112.515124.3212341.112153254.11214134522554
'ban'dao'ti'cun'chu'qi	半导体存储器	432.515124.32121.13258.324011.808010	43112.515124.3212341.132521.324512132511.2512511344251251
'ban'dao'ti'chang'xiao'jing'ti'guan	半导体场效晶体管	432.515124.32121.19533.663490.818181.32121.374621	43112.515124.3212341.121533.4134343134.251125112511.3212341.31431444525151
'ban'dao'ti'min'gan'qi	半导体敏感器	432.515124.32121.310690.131805.808010	43112.515124.3212341.31554143134.1312515344544.2512511344251251
'ban'dao'ti'ji'guang'fang'da'qi	半导体激光放大器	432.515124.32121.443810.24135.6090.134.808010	43112.515124.3212341.4413251141533134.243135.41533134.134.2512511344251251
'ban'dao'ti'ji'guang'qi	半导体激光器	432.515124.32121.443810.24135.808010	43112.515124.3212341.4413251141533134.243135.2512511344251251
'ban'dao'ti'tao'ci	半导体陶瓷	432.515124.32121.523594.413539	43112.515124.3212341.5235311252.4135341554
'ban'jia'qi	半加器	432.5380.808010	43112.53251.2512511344251251
'ban'shuang'gong	半双工	432.5454.121	43112.5454.121
'ban'shuang'gong'chuan'shu	半双工传输	432.5454.121.321154.773412	43112.5454.121.321154.1521341251122
'ban'xian'xing'ji	半线性集	432.551154.49371.324172	43112.55111534.44231121.324111211234
'ban'jiao'cha'chuan'dong	半交叉传动	432.6634.544.321154.115453	43112.413434.544.321154.115453
'ban'jing'heng'mo'nei'kong	半精珩磨内孔	432.687121.113312.471214.2534.585	43112.43123411212511.1121332112.4131234123413251.2534.5215
'ban'jing'che	半精车	432.687121.77	43112.43123411212511.1512
'ban'lian'jie	半连接	432.77454.106159	43112.1512454.12141431531
'ban'ying	半影	432.814123	43112.251141251234333
'ban'jin'shu'mo'ca'cai'liao	半金属摩擦材料	432.91.073804.471217.104694.12123.684412	43112.34112431.513325125214.413123412343112.12144535445411234.1234123.4312344412
'ban'tou'ming	半透明	432.925344.8136	43112.3123453454.25113511
'ban'tou'ming'guang'yin'ji	半透明光阴极	432.925344.8136.24135.5236.12354	43112.3123453454.25113511.243135.523511.1234354
'tang'ji'tie	羰基铁	432019.7019.913114	431113252134334.12211134121.3111531134
'bing'lie'lian'jie	并列连接	4332.1322.77454.106159	431132.135422.1512454.12141431531
'bing'xing	并行	4332.33112	431132.332112
'bing'xing'jian'mo	并行建模	4332.33112.011124.121784	431132.332112.51111254.12341222511134
'bing'xing'pai'xu'suan'fa	并行排序算法	4332.33112.1023.4754.378212.441954	431132.332112.12121112111.4135452.31431425111132.44112154
'bing'xing'zhi'xing	并行执行	4332.33112.10354.33112	431132.332112.121354.332112
'bing'xing'zhi'ling'dui'lie	并行指令队列	4332.33112.103581.34454.5234.1322	431132.332112.121352511.34454.5234.135422
'bing'xing'cao'zuo	并行操作	4332.33112.108082.323121	431132.332112.1212512512511234.3231211
